"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"75","2016-01-01 12:00:00","0934b77e1dd04737ab0e8ed6dcd693f2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"KZT","Tenge kazajo","1.00000000","0",\N,\N
"76","2016-01-01 12:00:00","2253c4e44e164efd800fdf89af02e87f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LAK","Kip lao","1.00000000","0",\N,\N
"77","2016-01-01 12:00:00","3d4cc0ec4b1f44c28622b15a5b6d30ac","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LBP","Libra libanesa","1.00000000","0",\N,\N
"78","2016-01-01 12:00:00","27906bc4164d4d379b8cb6b6b589e190","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LKR","Rupia de Sri Lanka","1.00000000","0",\N,\N
"79","2016-01-01 12:00:00","ac435905c99a4059aef32fe0820a519a","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LRD","Dólar liberiano","1.00000000","0",\N,\N
"80","2016-01-01 12:00:00","42a9c8cd73b7437aa56f6158fd4209fb","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LSL","Loti lesotense","1.00000000","0",\N,\N
"81","2016-01-01 12:00:00","113a63dac6484faca35325f8e52c6b7f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LTL","Litas lituano","1.00000000","0",\N,\N
"82","2016-01-01 12:00:00","468fa18464c2494dbcbf824f923c0f11","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LVL","Lat letón","1.00000000","0",\N,\N
"83","2016-01-01 12:00:00","18577a686fa24d4e8b205ef7bec28ed7","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"LYD","Dinar libio","1.00000000","0",\N,\N
"84","2016-01-01 12:00:00","a52d93b7171e46cba4e9842ddbe6cf46","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MAD","Dirham marroquí","1.00000000","0",\N,\N
"85","2016-01-01 12:00:00","981da66f16f74fd7be4a34fa9ed3c085","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MDL","Leu moldavo","1.00000000","0",\N,\N
"86","2016-01-01 12:00:00","ee152e02bbdd4144b4b768cd882f208c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MGA","Ariary malgache","1.00000000","0",\N,\N
"87","2016-01-01 12:00:00","02b8c61b4676421ba71f7a834af96994","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MKD","Denar macedonio","1.00000000","0",\N,\N
"88","2016-01-01 12:00:00","2d1c40afec444d82b3190575f3d4d524","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MMK","Kyat birmano","1.00000000","0",\N,\N
"89","2016-01-01 12:00:00","99ae8cd6c33449d9a9983043917cc91d","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MNT","Tughrik mongol","1.00000000","0",\N,\N
"90","2016-01-01 12:00:00","d4186fb3d2544cfb86a1a913bd7cc05e","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MOP","Pataca de Macao","1.00000000","0",\N,\N
